ds,yhat,yhat_lower,yhat_upper
2025-07-28,4531615.211590516,3984539.508979584,5121122.9882804435
2025-07-29,4503556.729804486,3914307.193539177,5067372.876920349
2025-07-30,4645346.913417968,4069304.4372982685,5226510.003101666
2025-07-31,4583491.079792352,3991865.00394069,5159533.748561509
2025-08-01,4552983.174410352,3953289.305487797,5072412.6173727885
2025-08-02,5098661.744530163,4525587.449990252,5681878.267269657
2025-08-03,5322664.810145375,4742928.648545537,5883258.599091067
2025-08-04,4606492.632422034,4010820.488943129,5220258.1300133765
2025-08-05,4560488.113001224,3986467.0637548068,5075098.7518822625
2025-08-06,4682781.852979938,4125830.0266628237,5239641.259514447
2025-08-07,4600379.378878164,3996269.9267723165,5141530.455778563
2025-08-08,4548816.291963055,4003338.095455855,5067382.805761962
2025-08-09,5073502.399554321,4512556.111459708,5609250.258647803
2025-08-10,5277163.671618563,4700734.929567414,5868450.273710695
2025-08-11,4541891.302143962,3925442.032575374,5124751.021521967
2025-08-12,4478607.916663219,3937755.9752236805,5102469.672713857
2025-08-13,4585998.284569446,4077352.0527598453,5167424.398927982
2025-08-14,4491582.387385903,3937720.0867044004,5009453.188777139
2025-08-15,4431356.948806699,3922715.0028878716,5056518.582076281
2025-08-16,4951126.831510228,4350531.45312581,5504246.198935163
2025-08-17,5153935.478296296,4606436.686600435,5717774.181331756
2025-08-18,4422103.99030095,3836058.7417007913,4950273.355573117
2025-08-19,4366689.167431449,3759026.8655002825,4949900.665157493
2025-08-20,4486408.115753503,3960341.8650040817,5074732.245488888
2025-08-21,4408707.47430116,3873731.132471163,4988538.859975593
2025-08-22,4369403.517320866,3867245.845518876,4943411.998933215
2025-08-23,4914014.6309119845,4370540.151634502,5473152.111619062
2025-08-24,5145195.375746457,4493101.620373401,5717541.040503123
2025-08-25,4444781.700475254,3909254.359725888,5039920.279928811
2025-08-26,4423257.540105442,3823487.5865739454,4999778.096313513
2025-08-27,4578690.251198172,4011519.328086011,5156391.64474885
2025-08-28,4537812.724287797,4020732.009620494,5089174.946005635
2025-08-29,4535678.162232935,4027617.3152715242,5102982.193063042
2025-08-30,5117008.706779662,4544099.0008874675,5648702.516892243
2025-08-31,5383646.765952956,4788538.091345411,5913254.887451818
2025-09-01,4716618.213810842,4144174.0275022644,5319485.858145863
2025-09-02,4725617.279044692,4196519.587904051,5308241.991922662
2025-09-03,4907960.141976758,4363053.500409759,5497177.26067811
2025-09-04,4889684.644182183,4374847.1149291415,5464306.578295684
2025-09-05,4905221.670383471,4346385.494014311,5452983.646133074
2025-09-06,5498758.973914827,4934411.046486621,6084357.705380112
2025-09-07,5771705.916025996,5205104.6227624575,6305551.053169117
2025-09-08,5104767.947021922,4564764.778792493,5697648.896456307
2025-09-09,5107440.349991038,4542375.698612727,5667239.920014522
2025-09-10,5276968.026986443,4704459.202370475,5821805.224419767
2025-09-11,5239448.554791452,4689359.64393962,5807920.651152059
2025-09-12,5229503.960688539,4696453.794791866,5812327.263838388
2025-09-13,5791641.9515508935,5245392.258165444,6373304.701687785
2025-09-14,6027715.101504608,5478066.373162594,6609107.91620483
2025-09-15,5318986.933893886,4752710.161038354,5901013.859108453
2025-09-16,5275614.596623798,4726563.686718341,5850751.700851604
2025-09-17,5395595.15586419,4824912.942913817,5966010.658529242
